inlet_temperature_c,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_methane_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,status,terminal_event,solver_function_evaluations,message
250.0,1.0,11.345535985781101,11.053268181009262,288.3962808304161,0.7601287877078117,completed,,79,The solver successfully reached the end of the integration interval.
257.5,1.0,13.370190135153742,12.946352204728637,298.78950515538463,0.7555466627098388,completed,,89,The solver successfully reached the end of the integration interval.
265.0,1.0,15.662104970077745,15.056359362089655,309.6522927121757,0.7508011965407847,completed,,96,The solver successfully reached the end of the integration interval.
272.5,1.0,18.243142473101333,17.3899206030012,321.0034341459634,0.7458801081693295,completed,,103,The solver successfully reached the end of the integration interval.
280.0,1.0,21.133106710036735,19.949105951471477,332.8528144836572,0.7407718280047478,completed,,110,The solver successfully reached the end of the integration interval.
287.5,1.0,24.347484360404952,22.730069025312822,345.1980976958879,0.7354661562310748,completed,,117,The solver successfully reached the end of the integration interval.
295.0,1.0,27.894345364974082,25.721864036395477,358.0213694846119,0.7299550635320401,completed,,137,The solver successfully reached the end of the integration interval.
302.5,1.0,31.77039127828165,28.90572609439354,371.28625176934406,0.7242336008203022,completed,,160,The solver successfully reached the end of the integration interval.
310.0,1.0,35.95636648461181,32.2551065086497,384.93609774772335,0.7183008375548867,completed,,161,The solver successfully reached the end of the integration interval.
317.5,1.0,40.412397426233895,35.736581320448835,398.89371981732813,0.7121607420823617,completed,,162,The solver successfully reached the end of the integration interval.
325.0,1.0,45.0742528441241,39.31132996855019,413.062525948449,0.7058229176217747,completed,,163,The solver successfully reached the end of the integration interval.
332.5,1.0,49.85152227017186,42.93692759847551,427.3286400225255,0.6993020633656483,completed,,164,The solver successfully reached the end of the integration interval.
340.0,1.0,54.63066531437565,46.562690053446204,441.5554533062449,0.6926231194434482,completed,,167,The solver successfully reached the end of the integration interval.
347.5,1.0,59.277926214890776,50.127119549308716,455.5781706493376,0.6858162761647983,completed,,194,The solver successfully reached the end of the integration interval.
350.0,1.0,60.772582891295244,51.287005637518035,460.17076277102353,0.6835259003424914,completed,,194,The solver successfully reached the end of the integration interval.
355.0,1.0,63.64595661390806,53.53762114606027,469.1719263882716,0.6789246683767611,completed,,214,The solver successfully reached the end of the integration interval.
362.5,1.0,67.57473530970162,56.64266866780071,482.00269800270814,0.6720109256049487,completed,,247,The solver successfully reached the end of the integration interval.
370.0,1.0,70.89021787160887,59.20716000562912,493.630746739742,0.6651691860103879,completed,,255,The solver successfully reached the end of the integration interval.
377.5,1.0,73.42177864319677,60.95039816242219,504.1344726784266,0.6585330916330643,completed,,278,The solver successfully reached the end of the integration interval.
385.0,1.0,75.0648033752872,61.7091312616733,513.5392604185248,0.6522557216702173,completed,,319,The solver successfully reached the end of the integration interval.
392.5,1.0,75.84450884983967,61.60186094702016,521.9143590448157,0.6464498754500427,completed,,345,The solver successfully reached the end of the integration interval.
400.0,1.0,75.89425853206107,60.941245155399685,529.431528831951,0.6411388446376396,completed,,334,The solver successfully reached the end of the integration interval.
250.0,1.7,31.09906574658296,28.70765806993898,327.2907974427761,1.5674564080596962,completed,,117,The solver successfully reached the end of the integration interval.
257.5,1.7,38.08874019469069,34.38077852230612,346.29388098812535,1.5643854392303835,completed,,138,The solver successfully reached the end of the integration interval.
265.0,1.7,45.952772350910394,40.4587906387388,366.3096211653632,1.5611221819003522,completed,,161,The solver successfully reached the end of the integration interval.
272.5,1.7,54.37257532907594,46.68941096996467,386.73613360429067,1.5576824830609914,completed,,172,The solver successfully reached the end of the integration interval.
280.0,1.7,62.81298428022988,52.784147791926706,406.81536225858315,1.5541011728511118,completed,,192,The solver successfully reached the end of the integration interval.
287.5,1.7,70.62803518610946,58.488790934523315,425.8113000074288,1.5504298115323354,completed,,212,The solver successfully reached the end of the integration interval.
295.0,1.7,77.26690559636596,63.6274882759808,443.1832574967939,1.5467294803867007,completed,,227,The solver successfully reached the end of the integration interval.
302.5,1.7,82.4527428264518,68.0935477860066,458.6465252503714,1.5430616177423118,completed,,251,The solver successfully reached the end of the integration interval.
310.0,1.7,86.20264722919674,71.80414074325768,472.0940175428383,1.5394817609592046,completed,,291,The solver successfully reached the end of the integration interval.
317.5,1.7,88.70074712270052,74.65609037230053,483.4557482286606,1.5360392054789282,completed,,306,The solver successfully reached the end of the integration interval.
325.0,1.7,90.161558572714,76.53167046495565,492.6501233715743,1.5327806449421328,completed,,333,The solver successfully reached the end of the integration interval.
332.5,1.7,90.78868983590904,77.39595216048106,500.51473515258454,1.5297497438328262,completed,,351,The solver successfully reached the end of the integration interval.
340.0,1.7,90.79911250370328,77.4101851668075,507.8869864466966,1.5269752487259183,completed,,373,The solver successfully reached the end of the integration interval.
347.5,1.7,90.41331597327883,76.88602369789902,514.7972151774136,1.5244590371081583,completed,,385,The solver successfully reached the end of the integration interval.
350.0,1.7,90.228817780394,76.64413196597442,517.0069549734478,1.5236732152702224,completed,,398,The solver successfully reached the end of the integration interval.
355.0,1.7,89.80507354219723,76.10557187784626,521.2991917156679,1.522172805400091,completed,,413,The solver successfully reached the end of the integration interval.
362.5,1.7,89.07627648078747,75.22007965929237,527.4533747454652,1.5200774202598923,completed,,425,The solver successfully reached the end of the integration interval.
370.0,1.7,88.27310996039124,74.2829910010364,533.3168212599352,1.518136585589739,completed,,437,The solver successfully reached the end of the integration interval.
377.5,1.7,87.41286114769838,73.30975881384092,538.9395936734027,1.516319710913748,completed,,467,The solver successfully reached the end of the integration interval.
385.0,1.7,86.5015412018212,72.30612510924604,544.3629094693543,1.5146032852985076,completed,,470,The solver successfully reached the end of the integration interval.
392.5,1.7,85.54178157692908,71.27559861579054,549.6213160484831,1.5129693165724554,completed,,488,The solver successfully reached the end of the integration interval.
400.0,1.7,84.53563499929044,70.22114750715362,554.7423177042791,1.5114020981338536,completed,,492,The solver successfully reached the end of the integration interval.
250.0,2.4,63.829044186902365,53.77208460232964,385.01200060352176,2.3047060391531278,completed,,200,The solver successfully reached the end of the integration interval.
257.5,2.4,75.23625104309973,61.88768621533891,409.74403362479086,2.301844902282545,completed,,224,The solver successfully reached the end of the integration interval.
265.0,2.4,83.74339140342627,68.48390108049686,430.25040862007893,2.29894633332025,completed,,262,The solver successfully reached the end of the integration interval.
272.5,2.4,89.14341740467854,73.60171271856235,446.60784624786777,2.2961073490027086,completed,,299,The solver successfully reached the end of the integration interval.
280.0,2.4,92.24352598957634,77.51177276800819,459.76497684670414,2.2933919055011844,completed,,340,The solver successfully reached the end of the integration interval.
287.5,2.4,93.93931970088461,80.43948926988897,470.59783899322724,2.290832351302546,completed,,364,The solver successfully reached the end of the integration interval.
295.0,2.4,94.81039661889857,82.48579386377227,479.58630220333646,2.288443509870422,completed,,412,The solver successfully reached the end of the integration interval.
302.5,2.4,95.15602640242051,83.67908611480864,487.38063351730966,2.286234511713606,completed,,416,The solver successfully reached the end of the integration interval.
310.0,2.4,95.13933449507232,84.08686636266368,494.8674137824804,2.2842118753232765,completed,,405,The solver successfully reached the end of the integration interval.
317.5,2.4,94.88148925896908,83.89092939238829,502.02508616011824,2.282374517016318,completed,,473,The solver successfully reached the end of the integration interval.
325.0,2.4,94.4795365599302,83.33797546842071,508.84635537539305,2.280708495335836,completed,,452,The solver successfully reached the end of the integration interval.
332.5,2.4,93.99467495213896,82.62180597537214,515.3497608058694,2.279189216203237,completed,,443,The solver successfully reached the end of the integration interval.
340.0,2.4,93.45394521581156,81.83498884921488,521.5667857094587,2.277790274532327,completed,,459,The solver successfully reached the end of the integration interval.
347.5,2.4,92.86532606446936,81.00584743674395,527.5328469520198,2.276488412688281,completed,,481,The solver successfully reached the end of the integration interval.
350.0,2.4,92.65882164924659,80.72153247920575,529.4717928237435,2.2760726052314726,completed,,481,The solver successfully reached the end of the integration interval.
355.0,2.4,92.23049870759652,80.14191432481348,533.2822666144597,2.2752645811460317,completed,,481,The solver successfully reached the end of the integration interval.
