panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.25555555555555554,N2,0.799,0.3377777777777778,0.25555555555555554,0.799,1.3923333333333334,24.56976592723048,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.25555555555555554,N2,0.799,0.3466666666666667,0.25555555555555554,0.799,1.4012222222222221,23.994629471429185,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.25555555555555554,N2,0.799,0.35555555555555557,0.25555555555555554,0.799,1.410111111111111,23.44382066735848,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.25555555555555554,N2,0.799,0.36444444444444446,0.25555555555555554,0.799,1.419,22.915839213986857,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.25555555555555554,N2,0.799,0.37333333333333335,0.25555555555555554,0.799,1.427888888888889,22.409305265657064,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.25555555555555554,N2,0.799,0.38222222222222224,0.25555555555555554,0.799,1.436777777777778,21.922936980828645,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.25555555555555554,N2,0.799,0.39111111111111113,0.25555555555555554,0.799,1.4456666666666667,21.455581074566208,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.25555555555555554,N2,0.799,0.4,0.25555555555555554,0.799,1.4545555555555556,21.006146672020613,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.3111111111111111,N2,0.799,0.24,0.3111111111111111,0.799,1.350111111111111,40.48146380676997,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.3111111111111111,N2,0.799,0.24888888888888888,0.3111111111111111,0.799,1.359,39.315878051658906,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.3111111111111111,N2,0.799,0.2577777777777778,0.3111111111111111,0.799,1.367888888888889,38.21041208343447,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.3111111111111111,N2,0.799,0.26666666666666666,0.3111111111111111,0.799,1.3767777777777779,37.16067189880204,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.3111111111111111,N2,0.799,0.27555555555555555,0.3111111111111111,0.799,1.3856666666666668,36.162668284667525,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.3111111111111111,N2,0.799,0.28444444444444444,0.3111111111111111,0.799,1.3945555555555555,35.21283804574122,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.3111111111111111,N2,0.799,0.29333333333333333,0.3111111111111111,0.799,1.4034444444444445,34.307835157045005,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.3111111111111111,N2,0.799,0.3022222222222222,0.3111111111111111,0.799,1.4123333333333334,33.444629335590804,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.3111111111111111,N2,0.799,0.3111111111111111,0.3111111111111111,0.799,1.4212222222222222,32.620450749824755,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.3111111111111111,N2,0.799,0.32,0.3111111111111111,0.799,1.430111111111111,31.83278532966543,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.3111111111111111,N2,0.799,0.3288888888888889,0.3111111111111111,0.799,1.439,31.079312503364815,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.3111111111111111,N2,0.799,0.3377777777777778,0.3111111111111111,0.799,1.447888888888889,30.357884470716566,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.3111111111111111,N2,0.799,0.3466666666666667,0.3111111111111111,0.799,1.456777777777778,29.666535622309542,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.3111111111111111,N2,0.799,0.35555555555555557,0.3111111111111111,0.799,1.4656666666666667,29.003454076473894,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.3111111111111111,N2,0.799,0.36444444444444446,0.3111111111111111,0.799,1.4745555555555556,28.36697621387827,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.3111111111111111,N2,0.799,0.37333333333333335,0.3111111111111111,0.799,1.4834444444444446,27.75556000992287,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.3111111111111111,N2,0.799,0.38222222222222224,0.3111111111111111,0.799,1.4923333333333333,27.167774037785502,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.3111111111111111,N2,0.799,0.39111111111111113,0.3111111111111111,0.799,1.5012222222222222,26.60229563512196,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.3111111111111111,N2,0.799,0.4,0.3111111111111111,0.799,1.5101111111111112,26.057897871168894,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.3666666666666667,N2,0.799,0.24,0.3666666666666667,0.799,1.4056666666666668,47.42512681741841,completed,The solver successfully reached the end of the integration interval.
