panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.25555555555555554,N2,0.799,0.3377777777777778,0.25555555555555554,0.799,1.3923333333333334,36.550360740237814,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.25555555555555554,N2,0.799,0.3466666666666667,0.25555555555555554,0.799,1.4012222222222221,35.69552421930401,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.25555555555555554,N2,0.799,0.35555555555555557,0.25555555555555554,0.799,1.410111111111111,34.87683691903041,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.25555555555555554,N2,0.799,0.36444444444444446,0.25555555555555554,0.799,1.419,34.09210662948615,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.25555555555555554,N2,0.799,0.37333333333333335,0.25555555555555554,0.799,1.427888888888889,33.33931825180689,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.25555555555555554,N2,0.799,0.38222222222222224,0.25555555555555554,0.799,1.436777777777778,32.61660787440658,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.25555555555555554,N2,0.799,0.39111111111111113,0.25555555555555554,0.799,1.4456666666666667,31.922250240227275,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.25555555555555554,N2,0.799,0.4,0.25555555555555554,0.799,1.4545555555555556,31.254646093909482,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.3111111111111111,N2,0.799,0.24,0.3111111111111111,0.799,1.350111111111111,59.4425597377939,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.3111111111111111,N2,0.799,0.24888888888888888,0.3111111111111111,0.799,1.359,57.787808360939316,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.3111111111111111,N2,0.799,0.2577777777777778,0.3111111111111111,0.799,1.367888888888889,56.20947984026561,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.3111111111111111,N2,0.799,0.26666666666666666,0.3111111111111111,0.799,1.3767777777777779,54.703548776043206,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.3111111111111111,N2,0.799,0.27555555555555555,0.3111111111111111,0.799,1.3856666666666668,53.26607042937531,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.3111111111111111,N2,0.799,0.28444444444444444,0.3111111111111111,0.799,1.3945555555555555,51.89323126409256,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.3111111111111111,N2,0.799,0.29333333333333333,0.3111111111111111,0.799,1.4034444444444445,50.58137757673493,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.3111111111111111,N2,0.799,0.3022222222222222,0.3111111111111111,0.799,1.4123333333333334,49.327030896375646,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.3111111111111111,N2,0.799,0.3111111111111111,0.3111111111111111,0.799,1.4212222222222222,48.12690252139086,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.3111111111111111,N2,0.799,0.32,0.3111111111111111,0.799,1.430111111111111,46.977894177899124,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.3111111111111111,N2,0.799,0.3288888888888889,0.3111111111111111,0.799,1.439,45.877093654763215,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.3111111111111111,N2,0.799,0.3377777777777778,0.3111111111111111,0.799,1.447888888888889,44.8217758343997,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.3111111111111111,N2,0.799,0.3466666666666667,0.3111111111111111,0.799,1.456777777777778,43.80937969326749,completed,The solver successfully reached the end of the integration interval.
