catalyst_mass_kg,bed_length_m,temperature_k,pressure_bar,co_conversion,methane_yield,flow_CO_mol_s,flow_H2_mol_s,flow_CH4_mol_s,flow_H2O_mol_s,flow_CO2_mol_s,flow_N2_mol_s,concentration_CO_mol_m3,concentration_H2_mol_m3,concentration_CH4_mol_m3,concentration_H2O_mol_m3,concentration_CO2_mol_m3,concentration_N2_mol_m3
0.0,0.0,623.15,5.0,0.0,0.0,0.0016666666666666668,0.006666666666666667,0.0,0.0,0.0,0.041666666666666664,3.216784483209663,12.867137932838652,0.0,0.0,0.0,80.41961208024156
0.007239583107605501,0.0007620000000000002,797.4401350733855,4.999999010251286,0.8504834520165643,0.7292929292745635,0.00024919424663905954,0.003222186225018334,0.0012154882154576058,0.0010135040110644008,0.00020198420454491515,0.041666666666666664,0.39504941015315254,5.108154721729374,1.9269221061116202,1.606715111439849,0.32020699491227866,66.05446278042052
0.014479166215211002,0.0015240000000000004,821.3050243415902,4.999997900048919,0.9347921164063107,0.8374444255274461,0.00010867980598948207,0.0026416906906486944,0.0013957407092124103,0.001233494557924432,0.00016224615143968832,0.041666666666666664,0.16856198594448543,4.097252704977206,2.164788790947764,1.9131455972195952,0.2516431939634707,64.62484927236571
0.0217187493228165,0.0022860000000000007,821.080732797537,4.999996785726754,0.9353567880917811,0.8383030597812087,0.00010773868651369803,0.002636907581766062,0.0013971717663020145,0.0012354155526278566,0.00016175621382586813,0.041666666666666664,0.1671580568060184,4.091198450697937,2.1677312489751173,1.9167642543976067,0.25096699481289086,64.6464075158237
0.028958332430422003,0.003048000000000001,820.7881018601032,4.999995671833137,0.9357350453496855,0.8388421158776896,0.00010710825775052423,0.002633944303219362,0.0013980701931294828,0.0012365819775196198,0.00016148821576157345,0.041666666666666664,0.16624547608033588,4.088212560395682,2.169980632043288,1.9193306275594442,0.25065000471931753,64.67190282204696
0.0361979155380275,0.003810000000000001,820.4955787473908,4.999994558378611,0.9361110111743138,0.8393791095526266,0.00010648164804281014,0.002630990955094163,0.001398965182587711,0.001237745346728362,0.00016121983601105941,0.041666666666666664,0.16533805500026053,4.085238491647472,2.1722257924590274,1.9218936969440397,0.25033209575055393,64.69739858121984
0.043437498645633,0.004572000000000001,820.2033126428062,4.9999934453627155,0.9364850851773797,0.8399147359458986,0.00010585819137103371,0.002628043569144126,0.0013998578932431643,0.0012389073113674924,0.00016095058202738238,0.041666666666666664,0.16443474412917997,4.082269555672755,2.1744682344501016,1.9244557658315355,0.25001246885422557,64.72288618681188
0.050677081753238505,0.005334000000000001,819.9113037526814,4.999992332784966,0.9368572740383919,0.8404489972381636,0.00010523787660268009,0.0026251021419640467,0.0014007483287302727,0.0012400678675733552,0.0001606804613086278,0.041666666666666664,0.1635355322177068,4.079305757305631,2.1767079575998847,1.927016823755648,0.24969113407998866,64.74836559841407
0.05791666486084401,0.006096000000000002,819.6195522064555,4.9999912206448744,0.9372275842192923,0.8409818952332958,0.00010462069296784618,0.0026221666722979994,0.001401636492055493,0.0012412270105889621,0.00016040948161824138,0.041666666666666664,0.16264040856240575,4.076347104987545,2.178944960668001,1.9295768589768911,0.2493681019269547,64.77383677990899
0.0651562479684495,0.006858000000000001,819.3280581856509,4.9999901089419545,0.9375960221412655,0.8415134319978106,0.0001040066297645575,0.0026192371570711885,0.0014025223866630178,0.001242384736600723,0.00016013765021400525,0.041666666666666664,0.1617493625301813,4.073393604145035,2.1811792430020462,1.9321358611205943,0.24904338211738905,64.79929969221574
0.072395831076055,0.007620000000000002,819.0368218485457,4.999988997675723,0.9379625942948274,0.8420436094994509,0.00010339567617528769,0.0026163135939828563,0.0014034060158324183,0.0012435410413502543,0.00015986497463387451,0.041666666666666664,0.16086238328389507,4.070445261488849,2.183410803746121,1.9346938191478198,0.24871698483433155,64.82475429758442
0.0796354141836605,0.008382000000000002,818.7458433534179,4.999987886845691,0.9383273071704937,0.8425724297059595,0.00010278782138251036,0.002613395980732244,0.001404287382843266,0.001244695920579172,0.00015959146241580435,0.041666666666666664,0.1599794599583426,4.067502083724352,2.1856396420501043,1.9372507220051836,0.24838892028104356,64.85020055821336
0.086874997291266,0.009144000000000003,818.4551228585455,4.999986776451376,0.9386901672587805,0.843099894585079,0.00010218305456869914,0.002610484315018592,0.0014051664909751317,0.001245849370029092,0.00015931712109774988,0.041666666666666664,0.15910058166025057,4.064564077551496,2.1878657570696536,1.939806558624867,0.24805919868100174,64.87563843624912
0.09411458039887151,0.009906000000000002,818.1646605222065,4.999985666492291,0.9390511810502034,0.8436260061045521,0.00010158136491632765,0.0026075785945411426,0.0014060433435075868,0.001247001385441631,0.00015904195821766617,0.041666666666666664,0.15822573746827426,4.061631249664784,2.190089147966223,1.942361317924638,0.24772783027789258,64.9010678937866
0.10135416350647701,0.010668000000000002,817.874456502679,4.999984556967953,0.9394103550352784,0.8441507662321215,0.00010098274160786952,0.002604678816999137,0.0014069179437202026,0.0012481519625584046,0.00015876598131350843,0.041666666666666664,0.15735491643299515,4.058703606753255,2.1923098139070674,1.9449149888078614,0.2473948253356068,64.92648889286899
0.10859374661408251,0.011430000000000003,817.5845109582409,4.9999834478778755,0.939767695704521,0.8446741769355302,0.00010038717382579835,0.002601784980091817,0.0014077902948925504,0.001249301097121029,0.00015848919792323175,0.041666666666666664,0.1564881075769188,4.055781155500438,2.194527754065256,1.9474675601635159,0.24706019413823282,64.95190139548781
0.11583332972168801,0.012192000000000003,817.2948240471703,4.999982339221573,0.9401232095484474,0.8451962401825209,9.979465075258778e-05,0.0025988970815184233,0.0014086604003042016,0.0012504487848711207,0.00015821161558479124,0.041666666666666664,0.15562529989447235,4.052863902584335,2.196742967619677,1.950019020866211,0.24672394699005093,64.97730536358301
0.12307291282929352,0.012954000000000004,817.0053959277453,4.99998123099856,0.9404769030575731,0.8457169579408362,9.920516157071141e-05,0.0025960151189781976,0.0014095282632347272,0.0012515950215502955,0.00015793324183614206,0.041666666666666664,0.15476648235200294,4.049951854677381,2.1989554537550497,1.9525693597762006,0.2463860942155271,65.00270075904288
0.130312495936899,0.013716000000000002,816.7162267466555,4.999980123208356,0.9408287827158247,0.8462363321901418,9.861869547362559e-05,0.002593139090079913,0.0014103938869835697,0.001252739802950895,0.00015765408418438528,0.041666666666666664,0.15391164390722953,4.0470450183660684,2.2011652117260354,1.9551185658479542,0.2460466461148518,65.0280875446817
0.1375520790445045,0.014478000000000003,816.4273165177565,4.999979015850518,0.9411788549619095,0.8467543650303248,9.803524173015084e-05,0.0025902689915555015,0.0014112572750505413,0.0012538831253413635,0.0001573741498608884,0.041666666666666664,0.15306077363363568,4.044143399554327,2.203372241483431,1.9576666291004288,0.24570561261986532,65.05346569440245
0.14479166215211,0.015240000000000004,816.1386655977177,4.999977908924502,0.9415271264341281,0.8472710582267878,9.745478927645328e-05,0.002587404822699445,0.0014121184303779797,0.0012550249835425427,0.0001570934469871475,0.041666666666666664,0.15221385998913023,4.041247006346273,2.205576541137299,1.960213536411203,0.24536300496305127,65.07883515321656
0.1520312452597155,0.016002000000000002,815.8502741415978,4.999976802429825,0.9418736036329853,0.8477864137743807,9.68773272783578e-05,0.0025845465810469224,0.0014129773562906345,0.0012561653733697564,0.0001568119830725884,0.041666666666666664,0.15137089180245955,4.038355845160371,2.20777810997864,1.9627592767087825,0.24501883350690498,65.10419588318004
0.159270828367321,0.016764000000000005,815.562142304455,4.999975696366004,0.9422182930589864,0.8483004336679527,9.630284490168929e-05,0.00258169426413311,0.0014138340561132545,0.0012573042906383282,0.0001565297656266368,0.041666666666666664,0.1505318578742217,4.035469922408923,2.209976947304508,1.9653038389076496,0.2446731086339984,65.1295478462985
0.1665104114749265,0.017526000000000003,815.2742702413483,4.999974590732557,0.9425612012126364,0.8488131199023538,9.573133131227264e-05,0.002578847869493187,0.0014146885331705896,0.0012584417311635816,0.00015624680215871846,0.041666666666666664,0.1496967469768655,4.032589244498053,2.212173052418018,1.9678472119082773,0.24432584074697306,65.15489100452709
0.173749994582532,0.018288000000000006,814.9866581073359,4.999973485529,0.9429023345944404,0.8493244744724332,9.516277567593274e-05,0.00257600739466233,0.0014155407907873888,0.0012595776907608402,0.00015596310017825912,0.041666666666666664,0.1488655478546899,4.02971381782766,2.2143664246283574,1.970389384597149,0.24397704026853315,65.18022531977057
0.18098957769013752,0.019050000000000004,814.6993060574764,4.9999723807548495,0.9432416997049033,0.8498344993730409,9.459716715849447e-05,0.0025731728371757166,0.0014163908322884016,0.0012607121652454276,0.0001556786671946845,0.041666666666666664,0.14803824922384323,4.026843648791407,2.2165570632507956,1.9729303458467746,0.24362671764143806,65.20555075388339
0.18822916079774302,0.019812000000000003,814.4122142468284,4.999971276409623,0.9435793030445304,0.8503431965990265,9.403449492578274e-05,0.0025703441945685254,0.0014172386609983775,0.0012618451504326676,0.00015539351071742043,0.041666666666666664,0.1472148397723228,4.023978743776677,2.2187449676066917,1.9754700845157054,0.24327488332849526,65.23086726866957
0.19546874390534852,0.020574000000000005,814.1253828304505,4.999970172492837,0.9439151511138265,0.8508505681452394,9.347474814362245e-05,0.002567521464375933,0.0014180842802420657,0.0012629766421378835,0.00015510763825589256,0.041666666666666664,0.1463953081599746,4.021119109164552,2.2209301370235046,1.9780085894485533,0.24292154781255218,65.256174825883
0.20270832701295402,0.021336000000000004,813.838811963401,4.99996906900401,0.944249250413297,0.8513566160065292,9.291791597783844e-05,0.002564704644133117,0.0014189276933442155,0.0012641066361763992,0.0001548210573195267,0.041666666666666664,0.14557964301849297,4.018264751329778,2.223112570834802,1.9805458494760055,0.2425667215964894,65.2814733872272
0.20994791012055952,0.022098000000000007,813.5525018007387,4.999967965942657,0.9445816074434467,0.8518613421777458,9.236398759425564e-05,0.0025618937313752563,0.0014197689036295764,0.0012652351283635383,0.00015453377541774856,0.041666666666666664,0.14476783295142073,4.015415676640741,2.2252922683802705,1.9830818534148436,0.2422104152032121,65.30676291435555
0.21718749322816502,0.022860000000000005,813.2664524975219,4.9999668633082965,0.9449122287047805,0.8523647486537387,9.181295215869894e-05,0.0025590887236375277,0.0014206079144228978,0.0012663621145146244,0.0001542458000599839,0.041666666666666664,0.14395986653414924,4.01257189145943,2.227469229005723,1.9856165900679579,0.2418526391756426,65.33204336887123
0.22442707633577053,0.023622000000000008,812.9806642088093,4.999965761100445,0.9452411206978041,0.8528668374293573,9.12647988369932e-05,0.002556289618455109,0.0014214447290489289,0.001267487590444981,0.0001539571387556585,0.041666666666666664,0.14315573231391845,4.0097334021414115,2.22964345206311,1.9881500482243668,0.2414934040767121,65.35731471232722
0.23166665944337603,0.024384000000000006,812.6951370896594,4.999964659318619,0.945568289923022,0.8533676104994514,9.071951679496336e-05,0.0025534964133631776,0.0014222793508324191,0.0012686115519699316,0.00015366779901419803,0.041666666666666664,0.1423554188098177,4.0069002150358,2.2318149369105273,1.9906822166592357,0.24113272048935283,65.38257690622656
0.23890624255098153,0.02514600000000001,812.4098712951308,4.999963557962336,0.9458937428809394,0.8538670698588708,9.017709519843426e-05,0.0025507091058969114,0.0014231117830981182,0.0012697339949048001,0.00015337778834502831,0.041666666666666664,0.14155891451278582,4.004072336485225,2.2339836829122275,1.9932130841338909,0.24077059901648956,65.40782991202207
0.24614582565858703,0.025908000000000007,812.1248669802818,4.9999624570311125,0.9462174860720615,0.8543652175024649,8.963752321323082e-05,0.002547927693591488,0.0014239420291707748,0.0012708549150649102,0.00015308711425757505,0.041666666666666664,0.14076620788561217,4.0012497728258065,2.236149689438626,1.99574263939584,0.2404070502810311,65.4330736911166
0.25338540876619253,0.026670000000000006,811.8401243001712,4.999961356524465,0.9465395259968932,0.8548620554250832,8.910079000517792e-05,0.002545152173982085,0.0014247700923751387,0.001271974308265585,0.000152795784261264,0.041666666666666664,0.13997728736293724,3.998432530387118,2.2383129558663133,1.998270871178788,0.24004208492586201,65.45830820486306
0.260624991873798,0.027432000000000005,811.5556434098575,4.999960256441912,0.9468598691559398,0.8553575856215755,8.856688474010046e-05,0.0025423825446038804,0.0014255959760359593,0.0012730921703221487,0.00015250380586552092,0.041666666666666664,0.13919214135125368,3.9956206154921596,2.2404734815780607,2.0007977682026556,0.23967571361383372,65.48353341456433
0.26786457498140354,0.028194000000000007,811.271424464399,4.999959156782969,0.9471785220497061,0.8558518100867913,8.80357965838233e-05,0.0025396188029920513,0.0014264196834779857,0.0012742084970499246,0.00015221118657977154,0.041666666666666664,0.1384107582289076,3.9928140344573326,2.2426312659628365,2.003323319173601,0.23930794702775618,65.50874928147351
0.275104158089009,0.028956000000000006,810.9874676188545,4.999958057547155,0.9474954911786971,0.8563447308155805,8.750751470217136e-05,0.0025368609466817757,0.0014272412180259676,0.0012753232842642366,0.0001519179339134416,0.041666666666666664,0.1376331263460996,3.990012793592399,2.2447863084158057,2.00584751278403,0.2389387958703882,65.53395576679372
0.28234374119661454,0.02971800000000001,810.7037730282824,4.999956958733984,0.9478107830434183,0.8568363498027924,8.698202826096953e-05,0.002534108973208231,0.0014280605830046542,0.0012764365277804079,0.00015162405537595688,0.041666666666666664,0.13685923402488634,3.9872168992004604,2.246938608338347,2.0083703377126216,0.23856827086442914,65.55915283167832
0.28958332430422,0.030480000000000007,810.4203408477413,4.9999558603429755,0.9481244041443744,0.8573266690432768,8.645932642604268e-05,0.002531362880106596,0.0014288777817387948,0.0012775482234137622,0.00015132955847674308,0.041666666666666664,0.13608906955918212,3.9844263575779255,2.2490881651380574,2.010891782624344,0.23819638275250932,65.58434043723088
0.29682290741182554,0.03124200000000001,810.1371712322897,4.999954762373645,0.9484363609820706,0.8578156905318832,8.593939836321572e-05,0.0025286226649120463,0.0014296928175531389,0.0012786583669796233,0.000151034450725226,0.041666666666666664,0.13532262121476052,3.9816411750144733,2.2512349782287653,2.0134118361704716,0.23782314229718093,65.60951854450519
