catalyst_mass_kg,bed_length_m,temperature_k,pressure_bar,co_conversion,methane_yield,flow_CO_mol_s,flow_H2_mol_s,flow_CH4_mol_s,flow_H2O_mol_s,flow_CO2_mol_s,flow_N2_mol_s,concentration_CO_mol_m3,concentration_H2_mol_m3,concentration_CH4_mol_m3,concentration_H2O_mol_m3,concentration_CO2_mol_m3,concentration_N2_mol_m3,intrinsic_r1_co2_methanation_mol_kg_s,intrinsic_r2_co_methanation_mol_kg_s,intrinsic_wgs_mol_kg_s
0.0,0.0,623.15,5.0,0.0,0.0,0.0016666666666666668,0.006666666666666667,0.0,0.0,0.0,0.041666666666666664,3.216784483209663,12.867137932838652,0.0,0.0,0.0,80.41961208024156,0.0,0.10660725929781877,-0.0
0.007239583107605501,0.0007620000000000002,797.4400207377996,4.999999010251481,0.85048299860021,0.7292924340945329,0.00024919500233298316,0.0032221887709187403,0.001215487390157555,0.0010135031165306146,0.00020198427393056066,0.041666666666666664,0.39505065108937754,5.108159312855715,1.9269210071518132,1.6067138679271102,0.3202071397060347,66.05446995841315,0.045177383023803704,0.0679753298224423,0.036547202289297934
0.014479166215211002,0.0015240000000000004,821.3050228244181,4.9999979000491415,0.9347921130163306,0.8374444198051681,0.00010867981163944903,0.0026416907235413743,0.0013957406996752803,0.0012334945448725316,0.00016224615510636932,0.041666666666666664,0.16856199494889482,4.09725276185969,2.164788779255049,1.9131455797152046,0.25164320001075846,64.62484936488943,0.0002915786249706624,0.0002857417331850532,6.672756051632463e-05
0.0217187493228165,0.0022860000000000007,821.0807317804705,4.999996785726975,0.9353567862154928,0.8383030563352503,0.00010773868964084536,0.0026369076020060973,0.0013971717605587505,0.0012354155446408681,0.00016175621622150296,0.041666666666666664,0.16715806182228746,4.091198486125716,2.167731242197065,1.9167642438914738,0.25096699877666273,64.64640757942543,6.110615151326326e-05,6.39698232316394e-05,2.3795639997625972e-05
0.028958332430422003,0.003048000000000001,820.7881016445776,4.999995671833359,0.935735045594149,0.8388421161562266,0.00010710825734308508,0.0026339443021640148,0.0013980701935937111,0.001236581978413029,0.00016148821548430257,0.041666666666666664,0.16624547549294666,4.088212559864451,2.1699806333513068,1.919330629465747,0.25065000435681667,64.67190283955556,6.046825695746152e-05,6.33139990897858e-05,2.3457729079303988e-05
0.0361979155380275,0.003810000000000001,820.4955785549233,4.999994558378834,0.9361110115043595,0.8393791099282863,0.00010648164749273429,0.002630990953533967,0.0013989651832138107,0.0012377453478028774,0.00016121983571455378,0.041666666666666664,0.16533805418740208,4.08523849024449,2.172225793973339,1.9218936990921456,0.25033209535263623,64.69739859736698,6.033153000656224e-05,6.313537318708735e-05,2.3199746211038452e-05
0.043437498645633,0.004572000000000001,820.2033124377255,4.999993445362938,0.9364850854350247,0.8399147362706633,0.00010585819094162547,0.0026280435678025637,0.0013998578937844388,0.0012389073123930249,0.00016095058169503443,0.041666666666666664,0.1644347435051501,4.082269554656141,2.1744682358594,1.9244557679276906,0.25001246840333835,64.72288620373354,6.019493284576944e-05,6.295751263015495e-05,2.294308227226145e-05
0.050677081753238505,0.005334000000000001,819.9113035458944,4.9999923327851885,0.9368572743352809,0.8404489975450757,0.00010523787610786526,0.002625102140806907,0.001400748329241793,0.001240067868473973,0.0001606804610714405,0.041666666666666664,0.16353553149168878,4.079305756577718,2.1767079589658427,1.92701682566074,0.24969113377691726,64.74836561540128,6.005828720864023e-05,6.278005264213423e-05,2.268724530291678e-05
0.05791666486084401,0.006096000000000002,819.6195520031008,4.999991220645097,0.937227584506549,0.8409818955466299,0.00010462069248908518,0.002622166671081993,0.0014016364925777166,0.00124122701152704,0.00016040948135429695,0.041666666666666664,0.16264040786021458,4.076347104151782,2.1789449620435577,1.9295768609344086,0.24936810158114892,64.77383679666686,5.992167146794172e-05,6.260312074778759e-05,2.2432384429780545e-05
0.0651562479684495,0.006858000000000001,819.3280579848673,4.999990108942178,0.937596022425628,0.8415134323181978,0.00010400662929062007,0.0026192371558033394,0.0014025223871969963,0.0012423847375671343,0.00016013764993348244,0.041666666666666664,0.16174936183455588,4.073393603216747,2.1811792443912164,1.9321358631184815,0.2490433817449202,64.79929970881489,5.978501107488617e-05,6.242667307749247e-05,2.2178563492379358e-05
