total_catalyst_mass_g,conversion_percent,derived_uniform_bed_voidage_percent
16.69952845,99.13659184,93.7
16.7989304,99.13866419,93.6625
16.89833236,99.14071978,93.625
16.99773431,99.14275883,93.5875
17.09713627,99.14478159,93.55
17.19653822,99.14678828,93.5125
17.29594018,99.14877913,93.475
17.39534213,99.15075436,93.4375
17.49474409,99.15271418,93.4
17.59414604,99.1546588,93.3625
17.693548,99.15658843,93.325
17.79294995,99.15850327,93.2875
17.89235191,99.16040351,93.25
17.99175386,99.16228935,93.2125
18.09115582,99.16416099,93.175
18.19055778,99.1660186,93.1375
18.28995973,99.16786236,93.1
18.38936169,99.16969246,93.0625
18.48876364,99.17150907,93.025
18.5881656,99.17331236,92.9875
18.68756755,99.1751025,92.95
18.78696951,99.17687966,92.9125
18.88637146,99.17864398,92.875
18.98577342,99.18039565,92.8375
19.08517537,99.18213481,92.8
19.18457733,99.18386161,92.7625
19.28397928,99.1855762,92.725
19.38338124,99.18727874,92.6875
19.48278319,99.18896935,92.65
19.58218515,99.19064821,92.6125
19.6815871,99.19231543,92.575
19.78098906,99.19397116,92.5375
19.88039101,99.19561552,92.5
19.97979297,99.19724866,92.4625
20.07919492,99.1988707,92.425
20.17859688,99.20048178,92.3875
20.27799883,99.20208201,92.35
20.37740079,99.20367153,92.3125
20.47680274,99.20525045,92.275
20.5762047,99.20681889,92.2375
20.67560665,99.20837697,92.2
20.77500861,99.20992481,92.1625
20.87441056,99.21146253,92.125
20.97381252,99.21299023,92.0875
21.07321447,99.21450802,92.05
21.17261643,99.21601601,92.0125
21.27201838,99.21751431,91.975
21.37142034,99.21900302,91.9375
21.47082229,99.22048226,91.9
21.57022425,99.22195211,91.8625
21.6696262,99.22341269,91.825
21.76902816,99.22486408,91.7875
21.86843011,99.22630639,91.75
21.96783207,99.22773971,91.7125
22.06723402,99.22916414,91.675
22.16663598,99.23057977,91.6375
22.26603793,99.23198669,91.6
22.36543989,99.23338499,91.5625
22.46484184,99.23477476,91.525
22.5642438,99.23615609,91.4875
22.66364575,99.23752906,91.45
22.76304771,99.23889377,91.4125
22.86244966,99.24025029,91.375
22.96185162,99.2415987,91.3375
23.06125357,99.24293909,91.3
23.16065553,99.24427153,91.2625
23.26005748,99.24559611,91.225
23.35945944,99.24691291,91.1875
23.45886139,99.248222,91.15
23.55826335,99.24952345,91.1125
23.6576653,99.25081735,91.075
23.75706726,99.25210376,91.0375
23.85646921,99.25338276,91
23.95587117,99.25465442,90.9625
24.05527312,99.25591881,90.925
24.15467508,99.257176,90.8875
24.25407703,99.25842606,90.85
24.35347899,99.25966906,90.8125
24.45288094,99.26090506,90.775
24.5522829,99.26213413,90.7375
24.65168485,99.26335633,90.7
24.75108681,99.26457174,90.6625
24.85048876,99.2657804,90.625
24.94989072,99.2669824,90.5875
25.04929267,99.26817778,90.55
25.14869463,99.26936661,90.5125
25.24809658,99.27054895,90.475
25.34749854,99.27172485,90.4375
25.44690049,99.27289439,90.4
25.54630245,99.2740576,90.3625
25.6457044,99.27521456,90.325
25.74510636,99.27636532,90.2875
25.84450831,99.27750993,90.25
25.94391027,99.27864845,90.2125
26.04331222,99.27978093,90.175
26.14271418,99.28090743,90.1375
26.24211613,99.282028,90.1
26.34151809,99.28314269,90.0625
26.44092004,99.28425156,90.025
26.540322,99.28535465,89.9875
26.63972395,99.28645202,89.95
26.73912591,99.28754371,89.9125
26.83852786,99.28862977,89.875
26.93792982,99.28971026,89.8375
27.03733177,99.29078522,89.8
27.13673373,99.2918547,89.7625
27.23613569,99.29291874,89.725
27.33553764,99.29397739,89.6875
27.4349396,99.2950307,89.65
27.53434155,99.29607871,89.6125
27.63374351,99.29712147,89.575
27.73314546,99.29815902,89.5375
27.83254742,99.2991914,89.5
27.93194937,99.30021867,89.4625
28.03135133,99.30124085,89.425
28.13075328,99.302258,89.3875
28.23015524,99.30327015,89.35
28.32955719,99.30427734,89.3125
28.42895915,99.30527962,89.275
28.5283611,99.30627702,89.2375
28.62776306,99.30726959,89.2
28.72716501,99.30825737,89.1625
28.82656697,99.30924039,89.125
28.92596892,99.31021869,89.0875
29.02537088,99.31119231,89.05
29.12477283,99.31216129,89.0125
29.22417479,99.31312566,88.975
29.32357674,99.31408546,88.9375
29.4229787,99.31504073,88.9
29.52238065,99.31599151,88.8625
29.62178261,99.31693782,88.825
29.72118456,99.31787971,88.7875
29.82058652,99.3188172,88.75
29.91998847,99.31975034,88.7125
30.01939043,99.32067916,88.675
30.11879238,99.32160368,88.6375
30.21819434,99.32252395,88.6
30.31759629,99.32344,88.5625
30.41699825,99.32435185,88.525
30.5164002,99.32525954,88.4875
30.61580216,99.32616311,88.45
30.71520411,99.32706259,88.4125
30.81460607,99.32795799,88.375
30.91400802,99.32884937,88.3375
31.01340998,99.32973674,88.3
31.11281193,99.33062013,88.2625
31.21221389,99.33149958,88.225
31.31161584,99.33237512,88.1875
31.4110178,99.33324678,88.15
31.51041975,99.33411458,88.1125
31.60982171,99.33497855,88.075
31.70922366,99.33583872,88.0375
31.80862562,99.33669512,88
31.90802757,99.33754778,87.9625
32.00742953,99.33839672,87.925
32.10683148,99.33924197,87.8875
32.20623344,99.34008356,87.85
32.30563539,99.34092152,87.8125
32.40503735,99.34175586,87.775
32.5044393,99.34258663,87.7375
32.60384126,99.34341384,87.7
32.70324321,99.34423751,87.6625
32.80264517,99.34505768,87.625
32.90204712,99.34587437,87.5875
33.00144908,99.34668759,87.55
33.10085103,99.34749739,87.5125
33.20025299,99.34830378,87.475
33.29965494,99.34910679,87.4375
33.3990569,99.34990644,87.4
33.49845885,99.35070276,87.3625
33.59786081,99.35149575,87.325
33.69726276,99.35228546,87.2875
33.79666472,99.3530719,87.25
33.89606667,99.3538551,87.2125
33.99546863,99.35463508,87.175
34.09487058,99.35541185,87.1375
34.19427254,99.35618545,87.1
34.29367449,99.35695589,87.0625
34.39307645,99.3577232,87.025
34.4924784,99.3584874,86.9875
34.59188036,99.3592485,86.95
34.69128231,99.36000654,86.9125
34.79068427,99.36076152,86.875
34.89008622,99.36151347,86.8375
34.98948818,99.36226242,86.8
35.08889013,99.36300837,86.7625
35.18829209,99.36375136,86.725
35.28769404,99.3644914,86.6875
35.387096,99.36522851,86.65
35.48649795,99.36596271,86.6125
35.58589991,99.36669402,86.575
35.68530186,99.36742246,86.5375
35.78470382,99.36814805,86.5
35.88410577,99.3688708,86.4625
35.98350773,99.36959073,86.425
36.08290968,99.37030787,86.3875
36.18231164,99.37102223,86.35
36.2817136,99.37173383,86.3125
36.38111555,99.37244269,86.275
36.48051751,99.37314883,86.2375
36.57991946,99.37385225,86.2
36.67932142,99.37455299,86.1625
36.77872337,99.37525106,86.125
36.87812533,99.37594646,86.0875
36.97752728,99.37663923,86.05
37.07692924,99.37732938,86.0125
37.17633119,99.37801692,85.975
37.27573315,99.37870188,85.9375
37.3751351,99.37938426,85.9
37.47453706,99.38006408,85.8625
37.57393901,99.38074137,85.825
37.67334097,99.38141613,85.7875
37.77274292,99.38208839,85.75
37.87214488,99.38275815,85.7125
37.97154683,99.38342543,85.675
38.07094879,99.38409026,85.6375
38.17035074,99.38475263,85.6
38.2697527,99.38541258,85.5625
38.36915465,99.3860701,85.525
38.46855661,99.38672523,85.4875
38.56795856,99.38737797,85.45
38.66736052,99.38802834,85.4125
38.76676247,99.38867635,85.375
38.86616443,99.38932202,85.3375
38.96556638,99.38996536,85.3
39.06496834,99.39060638,85.2625
39.16437029,99.3912451,85.225
39.26377225,99.39188154,85.1875
39.3631742,99.3925157,85.15
39.46257616,99.3931476,85.1125
39.56197811,99.39377726,85.075
39.66138007,99.39440468,85.0375
39.76078202,99.39502989,85
39.86018398,99.39565288,84.9625
39.95958593,99.39627369,84.925
40.05898789,99.39689231,84.8875
40.15838984,99.39750877,84.85
40.2577918,99.39812307,84.8125
40.35719375,99.39873523,84.775
40.45659571,99.39934526,84.7375
40.55599766,99.39995317,84.7
40.65539962,99.40055898,84.6625
40.75480157,99.4011627,84.625
40.85420353,99.40176433,84.5875
40.95360548,99.4023639,84.55
41.05300744,99.40296142,84.5125
41.15240939,99.40355688,84.475
41.25181135,99.40415032,84.4375
41.3512133,99.40474173,84.4
41.45061526,99.40533113,84.3625
41.55001721,99.40591854,84.325
41.64941917,99.40650396,84.2875
41.74882112,99.4070874,84.25
41.84822308,99.40766888,84.2125
41.94762503,99.40824841,84.175
42.04702699,99.40882599,84.1375
42.14642894,99.40940165,84.1
42.2458309,99.40997538,84.0625
42.34523285,99.41054721,84.025
42.44463481,99.41111713,83.9875
42.54403676,99.41168517,83.95
42.64343872,99.41225133,83.9125
42.74284067,99.41281562,83.875
42.84224263,99.41337806,83.8375
42.94164458,99.41393865,83.8
43.04104654,99.4144974,83.7625
43.14044849,99.41505433,83.725
43.23985045,99.41560944,83.6875
43.3392524,99.41616274,83.65
43.43865436,99.41671425,83.6125
43.53805631,99.41726397,83.575
43.63745827,99.41781192,83.5375
43.73686022,99.41835809,83.5
43.83626218,99.41890251,83.4625
43.93566413,99.41944518,83.425
44.03506609,99.41998612,83.3875
44.13446804,99.42052532,83.35
44.23387,99.4210628,83.3125
44.33327195,99.42159857,83.275
44.43267391,99.42213264,83.2375
44.53207586,99.42266502,83.2
44.63147782,99.42319572,83.1625
44.73087977,99.42372474,83.125
44.83028173,99.42425209,83.0875
44.92968368,99.42477779,83.05
45.02908564,99.42530184,83.0125
45.12848759,99.42582425,82.975
45.22788955,99.42634503,82.9375
45.32729151,99.42686419,82.9
45.42669346,99.42738173,82.8625
45.52609542,99.42789767,82.825
45.62549737,99.42841201,82.7875
45.72489933,99.42892476,82.75
45.82430128,99.42943593,82.7125
45.92370324,99.42994553,82.675
46.02310519,99.43045357,82.6375
46.12250715,99.43096005,82.6
46.2219091,99.43146498,82.5625
46.32131106,99.43196838,82.525
46.42071301,99.43247024,82.4875
46.52011497,99.43297057,82.45
46.61951692,99.43346939,82.4125
46.71891888,99.4339667,82.375
46.81832083,99.43446251,82.3375
46.91772279,99.43495683,82.3
47.01712474,99.43544965,82.2625
47.1165267,99.43594101,82.225
47.21592865,99.43643089,82.1875
47.31533061,99.4369193,82.15
47.41473256,99.43740627,82.1125
47.51413452,99.43789178,82.075
47.61353647,99.43837585,82.0375
47.71293843,99.43885849,82
47.81234038,99.4393397,81.9625
47.91174234,99.43981949,81.925
48.01114429,99.44029786,81.8875
48.11054625,99.44077483,81.85
48.2099482,99.4412504,81.8125
48.30935016,99.44172458,81.775
48.40875211,99.44219738,81.7375
48.50815407,99.44266879,81.7
48.60755602,99.44313883,81.6625
48.70695798,99.44360751,81.625
48.80635993,99.44407483,81.5875
48.90576189,99.4445408,81.55
49.00516384,99.44500543,81.5125
49.1045658,99.44546871,81.475
49.20396775,99.44593067,81.4375
49.30336971,99.44639129,81.4
49.40277166,99.4468506,81.3625
49.50217362,99.44730859,81.325
49.60157557,99.44776528,81.2875
49.70097753,99.44822067,81.25
49.80037948,99.44867476,81.2125
49.89978144,99.44912757,81.175
49.99918339,99.44957909,81.1375
50.09858535,99.45002934,81.1
50.1979873,99.45047832,81.0625
50.29738926,99.45092603,81.025
50.39679121,99.45137249,80.9875
50.49619317,99.4518177,80.95
50.59559512,99.45226166,80.9125
50.69499708,99.45270438,80.875
50.79439903,99.45314587,80.8375
50.89380099,99.45358613,80.8
50.99320294,99.45402516,80.7625
51.0926049,99.45446298,80.725
51.19200685,99.45489959,80.6875
51.29140881,99.45533499,80.65
51.39081076,99.4557692,80.6125
51.49021272,99.4562022,80.575
51.58961467,99.45663402,80.5375
51.68901663,99.45706466,80.5
51.78841858,99.45749412,80.4625
51.88782054,99.45792241,80.425
51.98722249,99.45834953,80.3875
52.08662445,99.45877549,80.35
52.1860264,99.45920029,80.3125
52.28542836,99.45962394,80.275
52.38483031,99.46004644,80.2375
52.48423227,99.46046781,80.2
52.58363422,99.46088804,80.1625
