catalyst_mass_g,bulk_loading_kg_m3,bed_void_fraction,bed_voidage_percent,conversion_percent,pressure_out_bar,pressure_drop_pa,solver_success
0.1,0.6474820345767668,0.9994820143723386,99.94820143723386,18.856359898501683,1.9999999995075937,4.924062523059547e-05,True
0.25,1.6187050864419168,0.9987050359308465,99.87050359308465,41.15332593660122,1.9999999987725474,0.0001227452594321221,True
0.5,3.2374101728838336,0.997410071861693,99.7410071861693,63.64117416422427,1.9999999975184133,0.0002481586707290262,True
0.75,4.856115259325751,0.9961151077925394,99.61151077925395,75.62767637498277,1.9999999961931894,0.00038068107096478343,True
1.0,6.474820345767667,0.9948201437233859,99.4820143723386,82.64402401953855,1.9999999947783902,0.0005221609899308532,True
1.5,9.712230518651502,0.9922302155850788,99.22302155850788,90.08107826781253,1.9999999916488418,0.0008351158176083118,True
2.0,12.949640691535334,0.9896402874467717,98.96402874467717,93.67455457373921,1.999999988093404,0.0011906595900654793,True
2.5,16.18705086441917,0.9870503593084646,98.70503593084646,95.61719781055952,1.9999999840930376,0.0015906962507870048,True
3.12,20.201439478795123,0.9838388484169639,98.38388484169639,96.93906838949266,1.9999999784937377,0.0021506262419279665,True
4.0,25.89928138307067,0.9792805748935435,97.92805748935434,97.8663467809611,1.9999999692896637,0.00307103362865746,True
5.0,32.37410172883834,0.9741007186169294,97.41007186169294,98.35062268892015,1.9999999569696625,0.004303033754695207,True
10.0,64.74820345767668,0.9482014372338586,94.82014372338587,98.9349436203046,1.9999998624779511,0.013752204889897257,True
20.0,129.49640691535336,0.8964028744677173,89.64028744677172,99.19757917009213,1.9999994648004622,0.053519953769864514,True
30.0,194.24461037303,0.844604311701576,84.4604311701576,99.32049803978971,1.9999986658228552,0.1334177144744899,True
40.0,258.9928138307067,0.7928057489354347,79.28057489354346,99.39652495887216,1.999997247694901,0.2752305098983925,True
60.0,388.48922074606,0.689208623403152,68.92086234031521,99.48936984098708,1.999990980552478,0.9019447522005066,True
80.0,517.9856276614134,0.5856114978708693,58.56114978708693,99.54615646856053,1.9999744735268015,2.5526473198551685,True
100.0,647.4820345767668,0.48201437233858657,48.201437233858655,99.5855861990447,1.9999295406492414,7.045935075846501,True
115.83332972168799,750.0,0.4,40.0,99.6095409878814,1.9998359813940176,16.40186059824191,True
