h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
1.0,250.0,1.0,35.099999999999994,0.32,0.32,0.799,10.013068585123365,9.228259362816658,0.999999970665391,0.002933460898930207,completed,,166,The solver successfully reached the end of the integration interval.
1.4,250.0,1.0,35.099999999999994,0.32,0.44799999999999995,0.799,13.01253512558482,12.064921212978492,0.9999999680276734,0.003197232654201798,completed,,134,The solver successfully reached the end of the integration interval.
1.8,250.0,1.0,35.099999999999994,0.32,0.5760000000000001,0.799,15.22543450020665,14.21528601720391,0.9999999653059803,0.0034694019705057144,completed,,112,The solver successfully reached the end of the integration interval.
2.2,250.0,1.0,35.099999999999994,0.32,0.7040000000000001,0.799,16.792971937472423,15.786497812860928,0.9999999625150153,0.0037484984641196206,completed,,102,The solver successfully reached the end of the integration interval.
2.6,250.0,1.0,35.099999999999994,0.32,0.8320000000000001,0.799,17.861145467897323,16.89687230149314,0.9999999596664241,0.004033357588923536,completed,,89,The solver successfully reached the end of the integration interval.
2.9968749999999997,250.0,1.0,35.099999999999994,0.32,0.959,0.799,18.550726340621935,17.647664941168742,0.9999999567916845,0.004320831547374837,completed,,85,The solver successfully reached the end of the integration interval.
3.0,250.0,1.0,35.099999999999994,0.32,0.96,0.799,18.554966014315916,17.65242842320775,0.9999999567688749,0.004323112516431138,completed,,85,The solver successfully reached the end of the integration interval.
3.4000000000000004,250.0,1.0,35.099999999999994,0.32,1.088,0.799,18.972852494522215,18.139754769908063,0.9999999538286619,0.004617133803549223,completed,,85,The solver successfully reached the end of the integration interval.
3.8000000000000003,250.0,1.0,35.099999999999994,0.32,1.2160000000000002,0.799,19.189090944487482,18.42627708302508,0.9999999508503161,0.0049149683909490705,completed,,85,The solver successfully reached the end of the integration interval.
4.2,250.0,1.0,35.099999999999994,0.32,1.344,0.799,19.258565923857784,18.563181297635563,0.9999999478370966,0.005216290344833396,completed,,83,The solver successfully reached the end of the integration interval.
4.6,250.0,1.0,35.099999999999994,0.32,1.472,0.799,19.221531659286974,18.588922188821318,0.9999999447913666,0.005520863342098892,completed,,81,The solver successfully reached the end of the integration interval.
5.0,250.0,1.0,35.099999999999994,0.32,1.6,0.799,19.107437932003585,18.53225185953252,0.9999999417148462,0.005828515379107557,completed,,78,The solver successfully reached the end of the integration interval.
1.0,280.0,1.0,35.099999999999994,0.32,0.32,0.799,16.607624056860185,14.226818676191696,0.9999999695803874,0.0030419612594414502,completed,,207,The solver successfully reached the end of the integration interval.
1.4,280.0,1.0,35.099999999999994,0.32,0.44799999999999995,0.799,22.641632208596466,19.476398160755544,0.9999999670408292,0.0032959170785034075,completed,,189,The solver successfully reached the end of the integration interval.
1.8,280.0,1.0,35.099999999999994,0.32,0.5760000000000001,0.799,27.62050448029209,23.943753535550442,0.9999999643780726,0.003562192738172598,completed,,168,The solver successfully reached the end of the integration interval.
2.2,280.0,1.0,35.099999999999994,0.32,0.7040000000000001,0.799,31.54473932015454,27.603203311792,0.999999961602127,0.003839787299511954,completed,,154,The solver successfully reached the end of the integration interval.
2.6,280.0,1.0,35.099999999999994,0.32,0.8320000000000001,0.799,34.50811760761049,30.49776919521413,0.9999999587263747,0.004127362524741329,completed,,148,The solver successfully reached the end of the integration interval.
2.9968749999999997,280.0,1.0,35.099999999999994,0.32,0.959,0.799,36.634333025380535,32.69484453137121,0.9999999557878899,0.004421211007866077,completed,,144,The solver successfully reached the end of the integration interval.
3.0,280.0,1.0,35.099999999999994,0.32,0.96,0.799,36.64824724462062,32.70973219736732,0.9999999557644486,0.004423555146786384,completed,,144,The solver successfully reached the end of the integration interval.
3.4000000000000004,280.0,1.0,35.099999999999994,0.32,1.088,0.799,38.1140453005564,34.338835616786824,0.9999999527287071,0.004727129286038689,completed,,134,The solver successfully reached the end of the integration interval.
3.8000000000000003,280.0,1.0,35.099999999999994,0.32,1.2160000000000002,0.799,39.04565276164492,35.486544816675135,0.999999949629611,0.005037038892623968,completed,,116,The solver successfully reached the end of the integration interval.
4.2,280.0,1.0,35.099999999999994,0.32,1.344,0.799,39.564333439909774,36.246316523720914,0.9999999464756262,0.005352437379769981,completed,,109,The solver successfully reached the end of the integration interval.
4.6,280.0,1.0,35.099999999999994,0.32,1.472,0.799,39.76970128649264,36.699102855830525,0.9999999432734247,0.005672657527611591,completed,,106,The solver successfully reached the end of the integration interval.
5.0,280.0,1.0,35.099999999999994,0.32,1.6,0.799,39.74065128863914,36.91213595231375,0.99999994002816,0.005997184009174816,completed,,107,The solver successfully reached the end of the integration interval.
1.0,300.0,1.0,35.099999999999994,0.32,0.32,0.799,21.146583181246967,17.169851198249575,0.9999999688883201,0.0031111679854802787,completed,,255,The solver successfully reached the end of the integration interval.
1.4,300.0,1.0,35.099999999999994,0.32,0.44799999999999995,0.799,29.267954864364537,23.82647357983065,0.9999999664433162,0.0033556683774804696,completed,,245,The solver successfully reached the end of the integration interval.
1.8,300.0,1.0,35.099999999999994,0.32,0.5760000000000001,0.799,36.23237288899876,29.720724265738095,0.9999999638603166,0.0036139683361398056,completed,,215,The solver successfully reached the end of the integration interval.
2.2,300.0,1.0,35.099999999999994,0.32,0.7040000000000001,0.799,41.95475876890545,34.76910281754396,0.999999961142088,0.003885791200445965,completed,,211,The solver successfully reached the end of the integration interval.
2.6,300.0,1.0,35.099999999999994,0.32,0.8320000000000001,0.799,46.47620716655047,38.96428963239871,0.9999999582984916,0.004170150830759667,completed,,153,The solver successfully reached the end of the integration interval.
2.9968749999999997,300.0,1.0,35.099999999999994,0.32,0.959,0.799,49.89032527859404,42.32838781702308,0.9999999553660872,0.004463391276658513,completed,,184,The solver successfully reached the end of the integration interval.
3.0,300.0,1.0,35.099999999999994,0.32,0.96,0.799,49.91336023882237,42.351912483019404,0.9999999553425947,0.00446574053785298,completed,,184,The solver successfully reached the end of the integration interval.
